City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
160,Tighnabruaich,55.9016,-5.2398,55.2,94,100,4.23,GB,overcast clouds
161,Ponta Do Sol,32.6667,-17.1,69.01,79,90,2.68,PT,overcast clouds
162,Saint Anthony,45.0205,-93.218,62.89,37,1,1.01,US,clear sky
163,Saint-Philippe,-21.3585,55.7679,69.39,77,24,3.44,RE,few clouds
164,Carutapera,-1.195,-46.02,75.69,92,80,5.82,BR,broken clouds
165,Montepuez,-13.1256,38.9997,60.4,97,24,2.59,MZ,few clouds
166,La Peca,-5.6111,-78.435,75.45,71,37,3.78,PE,light rain
167,Provideniya,64.3833,-173.3,46.36,39,6,12.48,RU,clear sky
168,Boyolangu,-8.1181,111.8935,74.77,94,85,0.83,ID,overcast clouds
169,Shaunavon,49.6501,-108.4181,60.58,26,40,21.7,CA,scattered clouds
170,Tsaratanana,-16.7833,47.65,67.1,75,0,4.34,MG,clear sky
171,Zeya,53.75,127.2667,46.83,90,100,6.15,RU,overcast clouds
172,Palmer,42.1584,-72.3287,53.8,82,90,1.01,US,moderate rain
173,Mosalsk,54.4881,34.9817,55.26,93,100,2.64,RU,overcast clouds
174,Ust-Koksa,50.2696,85.6108,46.04,85,1,1.74,RU,clear sky
175,Grindavik,63.8424,-22.4338,51.57,93,90,48.21,IS,moderate rain
176,Klaksvik,62.2266,-6.589,45.52,89,29,16.2,FO,scattered clouds
177,Marawi,7.9986,124.2928,71.65,92,98,0.6,PH,overcast clouds
178,Dubbo,-32.25,148.6167,41.13,70,18,11.5,AU,few clouds
179,Kikwit,-5.041,18.8162,72.14,53,41,1.48,CD,scattered clouds
180,Urucara,-2.5364,-57.76,77.18,82,30,0.6,BR,scattered clouds
181,Kabelvag,68.2114,14.4817,43.54,77,13,3.44,NO,few clouds
182,Matara,5.9485,80.5353,78.75,88,93,13.15,LK,overcast clouds
183,Djambala,-2.5447,14.7533,73.27,68,98,1.43,CG,overcast clouds
184,Kumluca,36.3703,30.2869,69.3,76,5,1.5,TR,clear sky
185,Alghero,40.5589,8.3181,62.1,68,9,2.93,IT,clear sky
186,Yellowknife,62.456,-114.3525,60.33,36,40,3.0,CA,scattered clouds
187,Fort Morgan,40.2503,-103.8,83.8,26,1,12.66,US,clear sky
188,Dimayon,8.0667,124.15,73.78,88,99,0.58,PH,overcast clouds
189,Pemangkat,1.1667,108.9667,77.7,88,99,4.68,ID,overcast clouds
190,Port-Gentil,-0.7193,8.7815,78.53,86,89,10.71,GA,overcast clouds
191,Ancud,-41.8697,-73.8203,47.73,70,70,7.49,CL,broken clouds
192,Baker City,44.7749,-117.8344,65.16,40,1,5.75,US,clear sky
193,Guerrero Negro,27.9769,-114.0611,66.15,63,20,21.92,MX,few clouds
194,Ayna,-12.65,-73.9167,60.26,84,21,2.1,PE,few clouds
195,Samarai,-10.6167,150.6667,78.04,74,83,14.18,PG,broken clouds
196,Denkendorf,48.6955,9.3168,54.36,80,0,1.01,DE,clear sky
197,Hanmer Springs,-42.5167,172.8167,42.1,98,100,3.56,NZ,moderate rain
198,Logan,41.7355,-111.8344,82.08,35,1,4.0,US,clear sky
199,Lebu,-37.6167,-73.65,52.79,87,95,5.88,CL,overcast clouds
200,Saint-Augustin,51.226,-58.6502,47.08,39,97,15.7,CA,overcast clouds
201,Apache Junction,33.4151,-111.5496,101.14,6,1,11.01,US,clear sky
202,Kuminskiy,58.6667,66.5667,51.1,76,61,4.61,RU,broken clouds
203,Norman Wells,65.282,-126.8329,41.04,60,75,12.66,CA,broken clouds
204,Poum,-20.2333,164.0167,72.72,61,28,14.47,NC,scattered clouds
205,North Bend,43.4065,-124.2243,74.95,70,1,32.21,US,clear sky
206,Pangnirtung,66.1451,-65.7125,30.16,90,95,4.43,CA,overcast clouds
207,Thompson,55.7435,-97.8558,60.96,29,75,14.97,CA,broken clouds
208,Ramhormoz,31.28,49.6035,90.68,9,0,4.81,IR,clear sky
209,Lander,42.833,-108.7307,72.16,24,1,25.32,US,clear sky
210,Salinopolis,-0.6136,-47.3561,78.24,86,47,10.76,BR,moderate rain
211,Grand Gaube,-20.0064,57.6608,74.37,78,18,5.01,MU,few clouds
212,Upata,8.0086,-62.3989,75.07,82,69,5.37,VE,broken clouds
213,Grande Prairie,55.1667,-118.8027,55.58,62,75,21.85,CA,broken clouds
214,Marzuq,14.4,46.4667,78.33,32,100,4.97,YE,overcast clouds
215,Portland,45.5234,-122.6762,71.64,46,75,3.0,US,broken clouds
216,Kahului,20.8947,-156.47,87.82,57,40,24.16,US,scattered clouds
217,Mahebourg,-20.4081,57.7,74.25,88,75,2.3,MU,broken clouds
218,Blackwater,-23.5833,148.8833,61.93,43,96,11.1,AU,overcast clouds
219,Hamilton,39.1834,-84.5333,57.99,94,90,5.99,US,moderate rain
220,Walvis Bay,-22.9575,14.5053,54.55,87,6,11.01,NA,clear sky
221,Asfi,32.2994,-9.2372,65.64,90,89,4.74,MA,overcast clouds
222,Kholm,59.2667,32.85,47.79,89,96,4.63,RU,overcast clouds
223,Jiaohe,43.7286,127.3447,52.86,88,100,2.89,CN,moderate rain
224,Acapulco,16.8634,-99.8901,87.62,70,40,10.58,MX,scattered clouds
225,Berdigestyakh,62.0989,126.6992,61.54,46,59,4.7,RU,broken clouds
226,Victor Harbor,-35.5667,138.6167,49.8,83,79,6.69,AU,broken clouds
227,Chabahar,25.2919,60.643,84.97,77,0,9.26,IR,clear sky
228,Dole,47.0833,5.5,60.12,76,0,9.22,FR,clear sky
229,Jardim,-21.4803,-56.1381,79.59,45,73,5.39,BR,broken clouds
230,Ilulissat,69.2167,-51.1,46.42,49,3,0.0,GL,clear sky
231,Liwale,-9.7667,37.9333,58.87,75,8,2.01,TZ,clear sky
232,Cidreira,-30.1811,-50.2056,63.32,95,100,4.83,BR,heavy intensity rain
233,Lumby,50.2498,-118.969,65.41,54,100,4.54,CA,overcast clouds
234,Manor,19.75,72.9167,83.77,75,99,3.42,IN,overcast clouds
235,Capesterre-Belle-Eau,16.0432,-61.566,80.62,69,8,10.42,GP,clear sky
236,Sept-Iles,50.2001,-66.3821,47.25,47,75,8.01,CA,broken clouds
237,Saint George,37.1041,-113.5841,99.07,9,1,5.99,US,clear sky
238,Frankfort,-27.2667,28.4833,48.72,42,1,4.5,ZA,clear sky
239,Axim,4.8699,-2.2405,80.74,85,44,8.25,GH,scattered clouds
240,Altamont,42.2068,-121.7372,74.77,10,1,5.75,US,clear sky
241,Catamarca,-28.4696,-65.7852,68.77,58,95,4.0,AR,overcast clouds
242,Srednekolymsk,67.45,153.6833,54.07,35,12,19.19,RU,few clouds
243,Parambu,-6.2111,-40.6944,76.21,58,71,1.92,BR,broken clouds
244,Antalaha,-14.9003,50.2788,69.78,87,6,6.13,MG,clear sky
245,Oum Hadjer,13.2954,19.6966,92.08,18,43,9.51,TD,scattered clouds
246,Diamantino,-14.4086,-56.4461,75.74,53,99,5.12,BR,overcast clouds
247,Hilo,19.7297,-155.09,84.27,67,20,9.22,US,few clouds
248,Omboue,-1.5746,9.2618,75.96,93,99,3.4,GA,overcast clouds
249,Praia Da Vitoria,38.7333,-27.0667,61.75,82,20,5.55,PT,few clouds
250,Tiznit,29.5833,-9.5,64.26,81,100,2.57,MA,overcast clouds
251,Hambantota,6.1241,81.1185,79.61,83,98,19.13,LK,overcast clouds
